Designator,Mid X,Mid Y,Rotation,Layer
R46,163.28,-97.84,90.0,top
U3,124.745,-129.025,0.0,top
U5,124.745,-105.465,0.0,top
R21,148.06,-78.175556,0.0,top
R28,175.6,-90.853334,0.0,top
LD1,146.53,-63.78,0.0,top
R9,148.06,-113.735556,0.0,top
R2,148.06,-131.517778,0.0,top
U1,136.22,-70.443,0.0,top
R14,148.06,-101.035556,0.0,top
R49,158.28,-89.91,90.0,top
J1,140.63,-134.12,180.0,top
R23,175.6,-78.173334,0.0,top
R3,148.06,-128.995556,0.0,top
R41,175.6,-123.913334,0.0,top
R4,148.06,-126.455556,0.0,top
R43,175.6,-128.993334,0.0,top
R40,175.6,-121.373334,0.0,top
R8,148.06,-116.375556,0.0,top
R13,148.06,-103.575556,0.0,top
R36,175.6,-111.177778,0.0,top
R51,159.87,-89.91,90.0,top
R27,175.6,-88.313334,0.0,top
R22,142.44,-66.98,-90.0,top
C6,159.05,-92.35,0.0,top
C4,148.75,-68.88,90.0,top
R19,148.06,-83.235556,0.0,top
R25,175.6,-83.233334,0.0,top
R15,148.06,-93.495556,0.0,top
R16,148.06,-90.855556,0.0,top
R31,175.6,-98.493334,0.0,top
R35,175.6,-108.635556,0.0,top
R20,148.06,-80.675556,0.0,top
U2,153.71,-75.635556,0.0,top
R38,175.6,-116.373334,0.0,top
R29,175.6,-93.493334,0.0,top
R48,165.07,-97.87,90.0,top
R47,164.16,-95.33,180.0,top
R34,175.6,-106.113334,0.0,top
R32,175.6,-101.033334,0.0,top
R50,159.03,-87.32,180.0,top
R12,148.06,-106.115556,0.0,top
R26,175.6,-85.753334,0.0,top
R10,148.06,-111.18,0.0,top
C1,131.55,-79.44,90.0,top
R6,148.06,-121.375556,0.0,top
C2,135.97,-79.44,90.0,top
R39,175.6,-118.826667,0.0,top
R45,175.6,-134.057778,0.0,top
R33,175.6,-103.573334,0.0,top
J2,182.445,-70.58,0.0,top
R11,148.06,-108.637778,0.0,top
U4,124.745,-117.245,0.0,top
R17,148.06,-88.315556,0.0,top
R18,148.06,-85.755556,0.0,top
R44,175.6,-131.515556,0.0,top
R1,148.06,-134.06,0.0,top
C3,145.66,-68.88,90.0,top
R37,175.6,-113.733334,0.0,top
R7,148.06,-118.828889,0.0,top
U6,124.745,-93.685,0.0,top
CN1,125.34,-80.81,180.0,top
R30,175.6,-95.946667,0.0,top
R5,148.06,-123.915556,0.0,top
R24,175.6,-80.673334,0.0,top
C5,164.15,-100.27,0.0,top
R42,175.6,-126.453334,0.0,top
